driver_branch,asset_name
Yangra_CompDisplay,PowerConsValidator_y1.exe
Yangra_Master,PowerConsValidator_y1.exe
Legacy_CompDisplay,PowerConsValidator_l1.exe
Legacy_Master,PowerConsValidator_l1.exe
