driver_branch,asset_name
Yangra_CompDisplay,PowerConsYangra_v2.exe
Yangra_Master,PowerConsYangra_v2.exe
Legacy_CompDisplay,PowerConsValidator_l6.exe
Legacy_Master,PowerConsValidator_l6.exe
